voters,alts,dims,scheme,dist_to_mean,mean_opt,winners
10,4,3,SRB,0.34748832771861426,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,3,Borda,0.34748832771861426,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,3,SRC,0.460055379750539,0.5,[0. 1. 0. 0. 3. 2. 0. 3. 2. 0.]
10,4,3,Plurality,0.34748832771861426,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,5,IRV,0.32683720824382434,0.0,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.]
10,4,5,SRB,0.2863577893023781,0.1,[0. 0. 0. 2. 3. 0. 0. 2. 0. 0.]
10,4,5,Borda,0.2765188355284597,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,5,SRC,0.29641008004801744,0.3,[3. 0. 2. 1. 3. 1. 3. 2. 2. 0.]
10,4,5,Plurality,0.2765188355284597,0.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,4,10,IRV,0.21789963700940143,1.0,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.]
10,4,10,SRB,0.22822525938300986,0.6,[0. 2. 0. 2. 2. 2. 1. 2. 2. 0.]
10,4,10,Borda,0.22562751217321794,0.0,[3. 3. 3. 3. 3. 3. 3. 3. 3. 3.]
10,4,10,SRC,0.23054362193215483,0.3,[0. 3. 0. 1. 0. 3. 2. 3. 2. 2.]
10,4,10,Plurality,0.21789963700940143,1.0,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.]
10,5,1,IRV,0.28009776974883266,1.0,[4. 4. 4. 4. 4. 4. 4. 4. 4. 4.]
10,5,1,SRB,0.36700806220181253,0.5,[4. 2. 4. 4. 4. 0. 2. 4. 0. 2.]
10,5,1,Borda,0.3529425325593408,0.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,5,1,SRC,0.38886149104496504,0.2,[2. 0. 2. 0. 1. 1. 1. 4. 4. 2.]
10,5,1,Plurality,0.28009776974883266,1.0,[4. 4. 4. 4. 4. 4. 4. 4. 4. 4.]
10,5,2,IRV,0.3048779587975362,0.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
10,5,2,SRB,0.28650749264488906,0.5,[1. 1. 1. 0. 0. 0. 1. 0. 1. 0.]
10,5,2,Borda,0.2681370264922419,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
10,5,2,SRC,0.3470085149981526,0.2,[2. 0. 0. 3. 1. 3. 4. 4. 2. 2.]
